Rock_name,SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
Rhyolite,75,0.25,14.8,1.33,1.49,0.17,0.09,0.04,6.56,0.08746666667
Rhyolite,73.14,0.14,14.17,1.33,0.58,0.18,0.02,0.02,10.35,0.141509434
Rhyolite,70.07,0.11,14.22,1.27,1.38,0.36,0.09,0.03,10.29,0.1468531469
Rhyolite,77.88,0.3,13.92,0.66,0.83,0.21,0.05,0.07,6.76,0.08680020544
Rhyolite,77.81,0.39,13.67,1.61,1.3,0.49,0.07,0.05,1.81,0.02326179154
Rhyolite,80.34,0.21,11.02,0.68,1.11,0.28,0.03,0.08,4.89,0.06086631815
Rhyolite,77.73,0.39,11.78,0.89,1.29,0.22,0.09,0.06,6.31,0.08117843818
Rhyolite,75.4,0.26,12.34,1.32,0.86,0.25,0.04,0.06,6.94,0.09204244032
Rhyolite,81.2,0.47,12,0.71,0.59,0.2,0.01,0.03,2.36,0.02906403941
Rhyolite,71.84,0.5,11.69,1.36,1.5,0.4,0.06,0.07,10.82,0.1506124722
Rhyolite,81.2,0.15,14.29,1.99,0.81,0.18,0.02,0.04,1.99,0.02450738916
Rhyolite,72.04,0.17,11.87,1.82,0.69,0.16,0.05,0.1,10.66,0.1479733481
Rhyolite,74.17,0.1,12.27,0.92,0.58,0.19,0.02,0.09,8.88,0.1197249562
Rhyolite,77.64,0.4,12.23,1.46,1.12,0.22,0.09,0.07,5.25,0.06761978362
Rhyolite,70.73,0.28,13.35,0.74,0.57,0.43,0.03,0.09,11.8,0.1668316132
Rhyolite,83.43,0.49,11.02,0.88,0.67,0.28,0.08,0.07,4.07,0.04878341124
Rhyolite,78.73,0.26,13.17,0.53,1.16,0.26,0.02,0.04,5.27,0.06693763495
Rhyolite,72.14,0.16,14.2,0.66,1.47,0.24,0.06,0.05,8.31,0.1151926809
Rhyolite,70.55,0.28,13.64,1.9,0.77,0.25,0.06,0.08,11.08,0.1570517364
Rhyolite,71.82,0.45,14.12,1,1.17,0.18,0.04,0.06,10.6,0.1475912002
Rhyolite,80.52,0.25,14.24,1.57,1.37,0.19,0.01,0.03,2,0.02483854943
Rhyolite,72.34,0.42,12,1.3,1.49,0.19,0.06,0.09,9.5,0.1313243019
Rhyolite,70.18,0.45,14.72,1.97,1,0.4,0.01,0.06,10.04,0.1430607011
Rhyolite,74.38,0.31,14.41,1.46,0.51,0.47,0.02,0.08,5.6,0.0752890562
Rhyolite,80.99,0.22,14.35,1.23,1.36,0.22,0.09,0.05,1.9,0.02345968638
Rhyolite,71.55,0.49,13.14,1.53,0.88,0.42,0.08,0.06,9.7,0.1355695318
Rhyolite,73.6,0.49,12.44,1.5,1.34,0.44,0.07,0.09,7.26,0.09864130435
Rhyolite,71.98,0.34,12.82,1.33,0.78,0.18,0.07,0.04,10.94,0.151986663
Rhyolite,79.28,0.11,14.13,0.8,0.66,0.42,0.05,0.04,1.78,0.02245206862
Rhyolite,71.01,0.4,14.87,1.04,0.72,0.34,0.05,0.08,10.51,0.1480073229
Rhyolite,69.75,0.24,14.27,1.55,1.42,0.23,0.08,0.03,10.7,0.1534050179
Rhyolite,72.2,0.4,12.81,1.74,0.77,0.29,0.07,0.06,9.21,0.1275623269
Rhyolite,80.38,0.11,12.75,1.18,1.21,0.11,0.05,0.1,2.32,0.02886290122
Rhyolite,79.56,0.15,13.27,1.62,0.66,0.34,0.07,0.06,4.5,0.05656108597
Rhyolite,71.38,0.47,14.09,1.18,0.62,0.28,0.06,0.06,10.46,0.146539647
Rhyolite,79.34,0.38,12.5,1.81,1.11,0.29,0.07,0.06,2.44,0.03075371817
Rhyolite,74.6,0.44,13.05,1.03,0.55,0.37,0.02,0.05,8.01,0.1073726542
Rhyolite,80.76,0.33,12.1,0.56,0.54,0.16,0.03,0.07,3.48,0.04309063893
Rhyolite,73.93,0.47,13.64,1.26,1.15,0.14,0.04,0.04,6.76,0.09143784661
Rhyolite,73.34,0.23,14.79,1.61,0.84,0.14,0.06,0.04,9.65,0.1315789474
Rhyolite,75.45,0.35,14.09,0.92,0.81,0.15,0.05,0.05,6.47,0.08575215374
Rhyolite,76.33,0.43,12.7,0.8,1.32,0.28,0.06,0.06,5.11,0.06694615485
Rhyolite,79.83,0.46,13.18,0.59,1.47,0.21,0.05,0.08,1.45,0.01816359764
Rhyolite,77.39,0.26,13.65,1.01,0.64,0.21,0.03,0.02,4.54,0.05866391007
Rhyolite,74.62,0.11,14.14,1.57,0.89,0.28,0.08,0.05,5.91,0.07920128652
Rhyolite,78.03,0.23,12.85,1.95,0.96,0.17,0.01,0.05,4.23,0.05420991926
Rhyolite,78.68,0.19,13.46,1.55,0.57,0.28,0.06,0.09,5.14,0.06532791052
Rhyolite,77.39,0.1,12.55,1.85,1.49,0.33,0.06,0.05,5.45,0.07042253521
Rhyolite,76,0.27,13.78,0.62,0.76,0.14,0.09,0.09,8.74,0.115
Rhyolite,70.13,0.32,14.95,1.8,1.44,0.47,0.03,0.03,8.11,0.1156423784
Rhyolite,75.76,0.16,14.45,0.75,0.97,0.24,0.03,0.04,5.02,0.06626187962
Rhyolite,77.54,0.1,13.46,0.64,0.76,0.21,0.03,0.04,5.13,0.0661594016
Rhyolite,76.09,0.18,13.94,1.2,0.8,0.32,0.07,0.08,7.18,0.09436193981
Rhyolite,77.38,0.11,11.19,0.82,0.8,0.24,0.02,0.04,7.16,0.0925303696
Rhyolite,72.76,0.35,13.68,1.09,0.93,0.24,0.02,0.08,9.3,0.1278174821
Rhyolite,76.15,0.2,11.98,0.79,0.94,0.48,0.06,0.05,8.74,0.1147734734
Rhyolite,69.38,0.19,14.12,1.7,0.94,0.27,0.08,0.04,10.36,0.1493225713
Rhyolite,77.08,0.22,11.32,0.53,0.63,0.15,0.09,0.09,7.99,0.1036585366
Rhyolite,78.19,0.42,12.32,1.47,1.12,0.38,0.08,0.08,2.95,0.0377286098
Rhyolite,71.28,0.3,14.84,0.66,0.7,0.13,0.06,0.06,10.02,0.1405723906
Rhyolite,71.22,0.22,13.72,1.5,1.09,0.23,0.08,0.08,9.63,0.1352148273
Rhyolite,81.54,0.39,11.36,0.96,0.62,0.45,0.09,0.02,3.98,0.0488103998
Rhyolite,76.09,0.28,13.13,1.4,1.23,0.11,0.09,0.06,5.23,0.06873439348
Rhyolite,74.31,0.31,14.14,1.59,1.46,0.17,0.1,0.06,5.62,0.07562912125
Rhyolite,74.37,0.22,14.63,1.14,1.35,0.13,0.07,0.09,8.23,0.1106629017
Rhyolite,73.79,0.44,14.93,0.53,0.7,0.31,0.01,0.04,7.43,0.1006911506
Rhyolite,77.42,0.22,12.22,1.56,0.84,0.27,0.02,0.08,5.09,0.06574528546
Rhyolite,75.8,0.23,12.76,1.32,0.79,0.45,0.03,0.08,8.45,0.1114775726
Rhyolite,74.98,0.31,12.53,1.89,0.95,0.16,0.02,0.03,9.64,0.128567618
Rhyolite,79.03,0.21,11.11,1.55,0.99,0.22,0.06,0.06,7.24,0.09161078072
Rhyolite,74.25,0.12,11.46,1.55,1.27,0.48,0.02,0.06,9.05,0.1218855219
Rhyolite,72.87,0.35,12.55,1.23,0.62,0.46,0.03,0.03,9,0.1235076163
Rhyolite,74.4,0.38,12.34,1.31,1.34,0.34,0.02,0.04,8.66,0.1163978495
Rhyolite,74.77,0.25,14.51,0.59,0.76,0.3,0.02,0.1,5.74,0.07676875752
Rhyolite,77.21,0.19,13.58,0.52,1,0.39,0.04,0.09,6.77,0.08768294262
Rhyolite,70.6,0.19,13.75,1.42,1.41,0.34,0.08,0.05,10.57,0.1497167139
Rhyolite,72.21,0.26,13.65,1.23,0.96,0.12,0.02,0.05,10.29,0.1425010386
Rhyolite,77.57,0.27,12.59,1.71,1.04,0.12,0.02,0.06,3.88,0.05001933737
Rhyolite,73.38,0.32,14.78,0.64,0.98,0.33,0.05,0.03,9.66,0.1316434996
Rhyolite,78.93,0.34,12.89,1.54,0.82,0.18,0.05,0.04,5.22,0.0661345496
Rhyolite,78.21,0.25,11.2,0.79,1.49,0.14,0.03,0.05,8.34,0.1066359801
Rhyolite,77.74,0.41,14.82,1.34,0.51,0.47,0.05,0.05,3.97,0.05106766144
Rhyolite,78.88,0.44,12.7,1.07,0.6,0.23,0.04,0.09,3.77,0.04779411765
Rhyolite,72.82,0.37,13.67,0.56,0.78,0.25,0.09,0.03,9.75,0.133891788
Rhyolite,77.69,0.42,13.81,1.6,0.79,0.34,0.03,0.06,5.83,0.07504183293
Rhyolite,78.05,0.46,13.08,1.68,1.45,0.3,0.02,0.09,3.62,0.0463805253
Rhyolite,72.56,0.47,13.29,0.71,1.43,0.46,0.06,0.04,10.78,0.1485667034
Rhyolite,77.92,0.49,11.9,0.84,1.18,0.24,0.08,0.09,5.74,0.07366529774
Rhyolite,78.13,0.35,12.33,2,0.92,0.33,0.09,0.08,2.92,0.03737360809
Rhyolite,76.83,0.12,12.91,1.84,1.39,0.35,0.02,0.05,7.39,0.09618638553
Rhyolite,69.95,0.26,13.82,1.75,1.48,0.36,0.08,0.02,10.12,0.1446747677
Rhyolite,70.81,0.31,12.46,1.82,1,0.48,0.07,0.03,11.74,0.1657957916
Rhyolite,81.99,0.21,11.29,0.95,1.25,0.47,0.08,0.05,3.05,0.03719965849
Rhyolite,74.35,0.19,14.81,1.66,0.83,0.33,0.06,0.05,6.02,0.08096839274
Rhyolite,82.65,0.38,11.58,1.92,0.56,0.28,0.04,0.04,2.78,0.03363581367
Rhyolite,74.55,0.44,13.39,1.04,0.78,0.39,0.02,0.07,9.81,0.1315895372
Rhyolite,77.5,0.49,14.5,0.94,0.71,0.32,0.08,0.04,4.5,0.05806451613
Rhyolite,77.63,0.36,14.35,1.86,1.21,0.2,0.08,0.06,3.92,0.05049594229
Rhyolite,80.69,0.48,13.43,1.41,0.73,0.49,0.03,0.05,1.42,0.01759821539
Rhyolite,77.49,0.28,11.25,0.54,1.02,0.19,0.07,0.02,7.38,0.09523809524
Rhyolite,78.31,0.19,11.33,0.69,0.67,0.17,0.04,0.03,7.98,0.1019026944
Rhyolite,69.68,0.3,14.73,1.86,1.47,0.45,0.09,0.05,9,0.1291618829
Rhyolite,73.15,0.47,12.5,0.58,1.19,0.41,0.01,0.04,10.89,0.1488721805
Rhyolite,81.09,0.42,13.99,0.58,0.84,0.39,0.06,0.04,2.98,0.03674929091
Rhyolite,75,0.2,13.08,1.44,0.89,0.2,0.07,0.1,9.16,0.1221333333
Rhyolite,74.66,0.48,12.83,0.68,0.71,0.23,0.06,0.09,9.54,0.127779266
Rhyolite,75.25,0.47,12.71,1.53,1.29,0.26,0.06,0.07,5.62,0.07468438538
Rhyolite,80.63,0.13,13.72,1.61,0.82,0.28,0.02,0.04,3.66,0.0453925338
Rhyolite,77.13,0.14,11.44,1.8,1.22,0.29,0.02,0.08,7.44,0.0964605212
Rhyolite,75.23,0.16,12.94,0.64,1.34,0.34,0.09,0.04,10.01,0.1330586202
Rhyolite,75.45,0.47,14.31,1.09,1.43,0.37,0.05,0.05,4.47,0.0592445328
Rhyolite,73.4,0.27,14.24,1.9,0.93,0.32,0.04,0.08,7.24,0.09863760218
Rhyolite,75.88,0.29,12.34,0.73,0.67,0.4,0.09,0.04,8.39,0.11056932
Rhyolite,71.65,0.23,13.72,0.77,0.97,0.38,0.05,0.09,11.11,0.1550593161
Rhyolite,81.72,0.26,12.7,0.58,0.99,0.15,0.02,0.09,3.75,0.04588839941
Rhyolite,79.08,0.32,13.42,1.42,1.01,0.34,0.09,0.06,3.21,0.04059180577
Rhyolite,74.77,0.4,12.97,1.83,0.98,0.29,0.08,0.07,6.2,0.0829209576
Rhyolite,74.72,0.42,11.95,0.67,0.76,0.2,0.1,0.1,10.2,0.136509636
Rhyolite,79.83,0.31,11.52,1.02,1.25,0.33,0.09,0.04,4.35,0.05449079293
Rhyolite,74.51,0.44,13.85,1.51,0.88,0.46,0.03,0.05,9.24,0.1240102
Rhyolite,75.74,0.33,14.84,1.42,0.81,0.32,0.07,0.06,6.63,0.08753630842
Rhyolite,71.69,0.11,14.49,1.13,1.39,0.25,0.1,0.04,10.98,0.1531594365
Rhyolite,78.13,0.3,12.06,0.71,1.46,0.48,0.09,0.03,6.49,0.08306668373
Rhyolite,72.14,0.46,11.47,1.53,1.05,0.41,0.1,0.04,10.31,0.1429165512
Rhyolite,78.71,0.39,13.83,1.22,1.47,0.17,0.08,0.1,1.68,0.02134417482
Rhyolite,73.99,0.16,11.74,1.36,0.87,0.24,0.03,0.07,9.09,0.1228544398
Rhyolite,79.21,0.47,11.03,0.51,0.73,0.28,0.03,0.03,7.97,0.1006186088
Rhyolite,71.07,0.18,14,0.91,0.52,0.18,0.05,0.09,10.92,0.1536513297
Rhyolite,78.28,0.45,13.91,0.73,1.18,0.11,0.01,0.02,4.79,0.06119059785
Rhyolite,80.35,0.44,11.72,0.67,0.54,0.43,0.07,0.09,2.75,0.03422526447
Rhyolite,79.1,0.28,13.69,1.5,1.5,0.11,0.05,0.1,2.53,0.03198482933
Rhyolite,73.52,0.17,13.41,1.74,1.45,0.44,0.05,0.04,7.6,0.1033732318
Rhyolite,73.94,0.42,13.71,1.37,0.67,0.36,0.07,0.08,9.11,0.1232080065
Rhyolite,76.39,0.36,14.48,0.93,1.03,0.17,0.03,0.05,7.24,0.09477680325
Rhyolite,71.67,0.15,12.79,1.45,0.66,0.27,0.05,0.02,10.28,0.1434351891
Rhyolite,78.75,0.37,11.81,1.65,0.88,0.36,0.06,0.09,4.23,0.05371428571
Rhyolite,79.97,0.25,11.68,1.02,1.35,0.38,0.03,0.08,4.6,0.05752157059
Rhyolite,78.71,0.33,13.58,1.8,0.59,0.13,0.08,0.07,4.42,0.05615550756
Rhyolite,77.43,0.34,11.72,1.37,0.88,0.1,0.05,0.04,6.61,0.08536742865
Rhyolite,71.08,0.29,13.54,0.88,0.98,0.45,0.06,0.05,9.96,0.1401238042
Rhyolite,71.47,0.49,14.07,1.22,1.49,0.16,0.07,0.06,8.96,0.125367287
Rhyolite,75.16,0.48,14.35,0.94,0.6,0.45,0.04,0.05,5.38,0.07158062799
Rhyolite,75.26,0.12,13.69,1.73,0.68,0.32,0.07,0.03,5.48,0.07281424395
Rhyolite,71.83,0.28,12.3,1.55,1.45,0.43,0.08,0.04,10.29,0.1432549074
Rhyolite,79.95,0.3,11.04,1.59,1.11,0.34,0.02,0.09,5.61,0.07016885553
Rhyolite,75,0.23,13.74,1.77,0.85,0.42,0.09,0.04,8,0.1066666667
Rhyolite,76.04,0.34,11.14,0.8,0.57,0.44,0.09,0.07,9.06,0.1191478169
Rhyolite,78.44,0.11,11.68,0.65,1.47,0.1,0.1,0.09,7.12,0.0907700153
Rhyolite,81.15,0.19,12.2,0.85,1.01,0.45,0.07,0.08,3.71,0.04571780653
Rhyolite,72.29,0.35,14.4,1.65,0.7,0.42,0.06,0.04,9,0.1244985475
Rhyolite,72.54,0.41,13.17,1.79,0.56,0.38,0.1,0.05,8.18,0.1127653708
Rhyolite,72.08,0.49,14.11,0.97,0.55,0.36,0.04,0.09,9.94,0.1379023307
Rhyolite,80.22,0.34,14.71,0.98,0.88,0.36,0.08,0.03,2.74,0.03415607081
Rhyolite,78.34,0.26,13.64,1.69,0.59,0.31,0.08,0.05,4.85,0.06190962471
Rhyolite,78.79,0.11,14.97,1.2,1.23,0.13,0.09,0.06,2.31,0.02931844143
Rhyolite,79.94,0.25,13.91,0.59,0.85,0.14,0.07,0.04,1.73,0.02164123092
Rhyolite,74.4,0.37,14.61,0.72,1.24,0.47,0.02,0.1,9.02,0.1212365591
Rhyolite,79.16,0.21,12.8,1.97,1.25,0.13,0.08,0.05,4.85,0.06126831733
Rhyolite,76.09,0.24,13.48,0.83,0.55,0.15,0.04,0.1,7.13,0.09370482324
Rhyolite,72.47,0.3,11.72,0.69,1.08,0.35,0.04,0.03,11.06,0.1526148751
Rhyolite,78.67,0.2,12.76,1.21,0.75,0.23,0.04,0.09,4.81,0.06114147706
Rhyolite,72.86,0.18,13.6,0.87,1.3,0.18,0.07,0.06,9.76,0.1339555312
Rhyolite,72.3,0.34,13.68,1.1,1.3,0.37,0.04,0.09,8.78,0.1214384509
Rhyolite,79.03,0.31,13.65,1.06,0.67,0.1,0.08,0.05,5.61,0.07098570163
Rhyolite,73.34,0.21,14.35,1.98,1.08,0.25,0.09,0.05,7.02,0.09571857104
Rhyolite,79.89,0.32,14.83,0.86,0.9,0.39,0.04,0.03,2.53,0.03166854425
Rhyolite,72,0.23,14.64,1.55,0.72,0.15,0.02,0.05,9.95,0.1381944444
Rhyolite,82.45,0.18,11.11,0.83,1.36,0.13,0.07,0.06,2.88,0.03493026076
Rhyolite,76.58,0.39,14,0.96,0.55,0.34,0.03,0.09,5.31,0.06933925307
Rhyolite,73.97,0.21,12.65,1.76,0.67,0.48,0.05,0.09,10.49,0.141814249
Rhyolite,76.76,0.1,14.19,1.75,1.16,0.14,0.09,0.03,5.77,0.07516935904
Rhyolite,78.54,0.43,13.69,1.49,0.52,0.49,0.06,0.07,5,0.06366182837
Rhyolite,69.25,0.29,14.66,1.93,1.24,0.37,0.08,0.04,11.54,0.1666425993
Rhyolite,74.53,0.15,11.06,1.83,1.24,0.16,0.01,0.05,8.36,0.1121695961
Rhyolite,77.32,0.19,14.95,0.82,1.18,0.25,0.06,0.06,2.53,0.03272115882
Rhyolite,74.22,0.38,12.64,1.86,1.16,0.31,0.08,0.04,7.98,0.1075181892
Rhyolite,74.9,0.15,13.32,0.93,0.54,0.36,0.07,0.1,8.37,0.1117489987
Rhyolite,78.2,0.27,11.84,1.5,1.43,0.21,0.05,0.02,4.97,0.06355498721
Rhyolite,71.89,0.24,14.39,1.98,1.21,0.42,0.09,0.04,8.1,0.112672138
Rhyolite,77.75,0.47,13.5,1.17,1.23,0.12,0.02,0.04,3.76,0.04836012862
Rhyolite,73.7,0.15,14.88,0.74,1.22,0.37,0.01,0.07,5.9,0.08005427408
Rhyolite,78.64,0.47,14.76,1.84,0.54,0.37,0.01,0.04,2.25,0.02861139369
Rhyolite,74.45,0.19,13.09,1.15,1.4,0.39,0.05,0.03,7.33,0.09845533915
Rhyolite,72.36,0.48,13.48,1.56,1.48,0.35,0.06,0.1,10.43,0.1441404091
Rhyolite,76.99,0.31,11.74,1.4,1.49,0.18,0.06,0.03,4.93,0.06403429017
Rhyolite,74.89,0.27,14.89,1.75,0.84,0.23,0.06,0.1,6.7,0.089464548
Rhyolite,80.97,0.31,13.51,0.94,0.8,0.31,0.04,0.04,3.87,0.04779547981
Rhyolite,79.29,0.4,11.91,1.91,1.45,0.39,0.04,0.09,3.33,0.04199772985
Rhyolite,71.57,0.49,12.73,1.93,0.96,0.15,0.02,0.08,11.43,0.1597037865
Rhyolite,72.98,0.2,12.64,1.95,1.27,0.19,0.08,0.07,9.56,0.1309947931
Rhyolite,69.55,0.47,14.27,1.95,1.13,0.19,0.08,0.03,11.81,0.169805895
Rhyolite,75.53,0.12,13.97,0.88,0.63,0.39,0.02,0.1,5.41,0.07162716801
Rhyolite,76.45,0.47,13.52,1.1,0.83,0.36,0.02,0.07,5.22,0.06827992152
Rhyolite,73.89,0.26,13.23,1.18,1.36,0.19,0.02,0.07,6.8,0.0920286913
Rhyolite,74.89,0.15,12.44,0.85,0.63,0.19,0.01,0.05,9.33,0.1245827213
Rhyolite,73.52,0.34,14.08,0.57,1.27,0.22,0.07,0.02,7.59,0.1032372144
Rhyolite,73.34,0.15,13.21,0.51,1.39,0.44,0.03,0.09,8.69,0.1184892283
Rhyolite,76.05,0.4,12.18,0.83,1.32,0.49,0.05,0.04,7.08,0.09309664694
Rhyolite,76.28,0.37,11.48,1.61,1.23,0.34,0.08,0.05,9.39,0.1230991085
Rhyolite,74.29,0.15,13.33,1.61,1.33,0.27,0.07,0.08,6.81,0.0916677884
Rhyolite,81.54,0.32,11.29,1.91,0.76,0.13,0.09,0.1,2.35,0.02882021094
Rhyolite,77.91,0.36,13.99,1.85,0.73,0.41,0.03,0.05,4.4,0.05647542036
Rhyolite,74.48,0.36,12.27,0.73,1.19,0.28,0.03,0.08,8.56,0.1149301826
Rhyolite,76.26,0.2,14.39,1.54,0.74,0.28,0.03,0.08,6.22,0.0815630737
Rhyolite,78.47,0.25,11.64,1.78,1.25,0.28,0.04,0.06,6.35,0.0809226456
Rhyolite,77.19,0.14,14.05,0.56,0.69,0.23,0.01,0.04,5.32,0.06892084467
Rhyolite,76.65,0.43,13,0.83,1.49,0.33,0.08,0.04,6.34,0.0827136334
Rhyolite,77.69,0.34,13.97,1.95,0.9,0.38,0.04,0.05,3.37,0.04337752607
Rhyolite,76.71,0.49,14.24,1.99,1.25,0.45,0.07,0.07,3.95,0.0514926346
Rhyolite,76.91,0.27,14.09,1.66,1.08,0.14,0.03,0.05,4.66,0.06059030035
Rhyolite,69.17,0.4,14.58,0.85,0.93,0.23,0.03,0.03,12.01,0.1736301865
Rhyolite,80.92,0.45,12.55,1.31,1.41,0.28,0.04,0.09,1.87,0.0231092437
Rhyolite,72.52,0.34,11.11,1.31,0.93,0.15,0.03,0.07,10.6,0.1461665747
Rhyolite,75.41,0.33,12.25,1.07,1.06,0.32,0.06,0.03,7.91,0.1048932502
Rhyolite,76.16,0.28,11.95,1.95,1.08,0.5,0.02,0.07,5.98,0.07851890756
Rhyolite,75.45,0.32,14.31,0.73,1.3,0.44,0.1,0.06,5.12,0.06785950961
Rhyolite,83.77,0.18,11.56,1.17,0.51,0.2,0.03,0.08,2.97,0.03545421989
Rhyolite,82,0.48,12.57,1.54,0.81,0.33,0.02,0.03,3.15,0.03841463415
Rhyolite,81.32,0.35,12.1,0.77,0.97,0.2,0.09,0.04,3.34,0.04107230694
Rhyolite,72.9,0.46,13.71,1.13,1.24,0.35,0.04,0.08,9.06,0.1242798354
Rhyolite,78.09,0.14,13.05,0.95,1.37,0.24,0.05,0.07,6.69,0.08567038033
Rhyolite,74.13,0.44,14.22,1.65,0.8,0.34,0.02,0.05,7.96,0.1073789289
Rhyolite,82.48,0.31,11.15,0.99,1.16,0.37,0.06,0.08,4.1,0.04970902037
Rhyolite,80.93,0.32,12.39,1.14,1.23,0.18,0.02,0.08,2.76,0.03410354627
Rhyolite,73.8,0.42,13.84,1.09,0.73,0.1,0.02,0.08,9.83,0.133197832
Rhyolite,79.16,0.31,13.45,1.05,1.27,0.14,0.01,0.09,3.28,0.04143506822
Rhyolite,80.23,0.18,11.93,0.93,0.99,0.26,0.04,0.07,3.69,0.04599277078
Rhyolite,79.38,0.25,14.95,1.83,0.8,0.44,0.1,0.03,1.21,0.01524313429
Rhyolite,75.28,0.23,14.61,1.26,1.41,0.19,0.07,0.09,6.12,0.08129649309
Rhyolite,75.67,0.3,14.5,1.7,0.9,0.31,0.06,0.06,4.05,0.05352187128
Rhyolite,79.26,0.34,12.63,1.09,0.77,0.4,0.03,0.08,5.57,0.07027504416
Rhyolite,76.14,0.35,12.13,1,0.58,0.35,0.02,0.06,8.28,0.1087470449
Rhyolite,75.42,0.3,12.99,1.03,0.74,0.28,0.06,0.08,9.44,0.1251657385
Rhyolite,75,0.17,13,0.83,1.21,0.45,0.04,0.03,6.41,0.08546666667
Rhyolite,69.91,0.42,14.93,1.53,0.85,0.21,0.02,0.02,10.29,0.1471892433
Rhyolite,75.29,0.27,13.82,0.59,0.81,0.43,0.03,0.09,6.32,0.08394209058
Rhyolite,73.79,0.12,13.77,1.85,0.63,0.36,0.02,0.03,9.58,0.12982789
Rhyolite,75.95,0.34,13.17,1.11,0.9,0.26,0.04,0.07,7.8,0.1026991442
Rhyolite,75.75,0.16,14.21,1.09,1.41,0.17,0.03,0.03,5.25,0.06930693069
Rhyolite,71.5,0.27,12.54,1.25,1.47,0.23,0.04,0.05,11.49,0.1606993007
Rhyolite,80.2,0.35,11.54,0.95,0.58,0.27,0.08,0.07,4.04,0.05037406484
Rhyolite,78.69,0.36,12.63,1.19,0.92,0.1,0.08,0.07,3.01,0.03825136612
Rhyolite,69.54,0.34,14.71,0.97,1.47,0.35,0.07,0.06,11.75,0.1689675007
Rhyolite,77.22,0.36,12.63,1.83,1.03,0.2,0.02,0.1,7.51,0.09725459725
Rhyolite,70.71,0.32,13.39,0.96,1.37,0.2,0.05,0.05,11.57,0.1636260783
Rhyolite,74.34,0.31,14.66,1.17,1.32,0.13,0.03,0.04,6.94,0.09335485607
